Year,Movie,Song,GEM!,Singer(s),Music Director(s),Lyrics
1965,Teen Deviyan,Uff kitni thandi ha yeh rut,,"Kishore, Lata",S D Burman,Majrooh Sultanpuri
1966,Pyar Kiye Jaa,Din jawaani ke chaar yaar,,Kishore,Laxmikant Pyarelal,Rajendra Krishan
1967,Jewel Thief,Aasmaan ke neeche,,"Kishore, Lata",S D Burman,Majrooh Sultanpuri
1967,Jewel Thief,Yeh dil na hota bechaara,Picture,Kishore,S D Burman,Majrooh Sultanpuri
1968,Abhilasha,Pyaar hua hai jabse,,"Kishore, Lata",R D Burman,Majrooh Sultanpuri
1968,Do Dooni Char,Hawaaon pe likh do,,Kishore,Hemant Kumar,Gulzar
1968,Duniya,Dooriyaan nazdeekiyaan ban gayeen,Picture,"Kishore, Asha",Shankar Jaikishen,Hasrat Jaipuri
1968,Padosan,Ek chatur naar kar ke singaar,,"Kishore, Manna Dey, Mehmood",R D Burman,Rajendra Krishan
1968,Padosan,Kehna hai kehna hai,Picture,Kishore,R D Burman,Rajendra Krishan
1968,Padosan,Mere saamne waali khidki mein,,Kishore,R D Burman,Rajendra Krishan
1969,Aradhana,Kora kaagaz tha yeh man mera,Picture,"Kishore, Lata",S D Burman,Anand Bakshi
1969,Aradhana,Mere sapnon ki raani,Picture,Kishore,S D Burman,Anand Bakshi
1969,Aradhana,Roop tera mastaana,Picture,Kishore,S D Burman,Anand Bakshi
1969,Do Raaste,Khiza ke phool pe aati,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1969,Khamoshi,Woh shaam kuchh ajeeb thi,Picture,Kishore,Hemant Kumar,Gulzar
1969,Mahal,Aankhon aankhon mein hum tum,Picture,"Kishore, Asha",Kalyanji Anandji,Anand Bakshi
1969,Mahal,Tu kya jaane din raat,,Kishore,Kalyanji Anandji,Anand Bakshi
1969,Mahal,Yeh duniya waale poochenge,,"Kishore, Asha",Kalyanji Anandji,Anand Bakshi
1969,Pavitra Papi,Teri duniya se hoke majboor,,Kishore,Prem Dhawan,Prem Dhawan
1969,Pyar Ka Mausam,Tum bin jaaoon kahaan (Kishore),Picture,Kishore,R D Burman,Majrooh Sultanpuri
1970,Aan Milo Sajna,Achchha to hum chalte hain,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1970,Aan Milo Sajna,Yahaan wahaan saare,Picture,Kishore,Laxmikant Pyarelal,Anand Bakshi
1970,Aansoo Aur Muskan,Guni jano re bhakt jano,,Kishore,Kalyanji Anandji,Qamar Jalalabadi
1970,Abhinetri,Sa re ga ma pa pa pa,,"Kishore, Lata",Laxmikant Pyarelal,Majrooh Sultanpuri
1970,Darpan,Duniya jalti hai jalne de,,"Kishore, Asha",Laxmikant Pyarelal,Anand Bakshi
1970,Deedar,Jee bhar ke dekh loon main tumhe,,Kishore,Usha Khanna,Verma Malik
1970,Ghar Ghar Ki Kahani,Sama hai suhaana suhaana,Picture,Kishore,Kalyanji Anandji,Anand Bakshi
1970,Holi Ayee Re,O haseeno tumne sadiyon,,Kishore,Kalyanji Anandji,Indeevar
1970,Johny Mera Naam,Nafrat karne waalon ke,,Kishore,Kalyanji Anandji,Indeevar
1970,Johny Mera Naam,O mere raaja,,"Kishore, Lata",Kalyanji Anandji,Indeevar
1970,Johny Mera Naam,Pal bhar ke liye koi hume pyaar kar le,Picture,Kishore,Kalyanji Anandji,Indeevar
1970,Kati Patang,Pyaar deewaana hota hai,,Kishore,R D Burman,Anand Bakshi
1970,Kati Patang,Yeh jo mohabbat hai,Picture,Kishore,R D Burman,Anand Bakshi
1970,Kati Patang,Yeh shaam mastaani,Picture,Kishore,R D Burman,Anand Bakshi
1970,Mastana,Jab jab hum tumko dekhe hain,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1970,Mastana,Soyee ja taara,,"Kishore, Hemlata",Laxmikant Pyarelal,Anand Bakshi
1970,Prem Pujari,Phoolon ke rang se dil ki kalam se,Picture,Kishore,S D Burman,Neeraj
1970,Prem Pujari,Shokhiyon mein ghola jaaye,Picture,"Kishore, Lata",S D Burman,Neeraj
1970,Prem Pujari,Yaaron neelaam karo susti,,"Kishore, Bhupinder",S D Burman,Neeraj
1970,Rootha Na Karo,Ae meri shola badan (Roothha na karo),,Kishore,C Ramchandra,Hasrat Jaipuri
1970,Rootha Na Karo,Tum bhi khoobsoorat ho,,Kishore,C Ramchandra,Hasrat Jaipuri
1970,Sachaa Jhutha,Dil ko dekho chehra na dekho,,Kishore,Kalyanji Anandji,Indeevar
1970,Sachaa Jhutha,Meri pyaari behaniya,,Kishore,Kalyanji Anandji,Indeevar
1970,Sachaa Jhutha,O kehdo kehdo haan tum jo kehdo,,"Kishore, Lata",Kalyanji Anandji,Qamar Jalalabadi
1970,Safar,Jeevan se bhari teri aankhen,Picture,Kishore,Kalyanji Anandji,Indeevar
1970,Safar,Zindagi ka safar,Picture,Kishore,Kalyanji Anandji,Indeevar
